ID,SchYear,State,Sport,Boys_Schools,Girls_Schools,Boys_Participation,Girls_Participation
42628,2015/2016,NJ,Bocce - Outdoor,0,0,0,0
42629,2015/2016,NJ,Cycling,0,0,0,0
42630,2015/2016,NJ,"Dance Team, High Kick",0,0,0,0
42631,2015/2016,NJ,"Dance Team, Jazz",0,0,0,0
42632,2015/2016,NJ,Dance/Drill,0,0,0,0
42633,2015/2016,NJ,Decathlon,0,0,0,0
42634,2015/2016,NJ,Drill Team,0,0,0,0
42635,2015/2016,NJ,Equestrian,0,0,0,0
42636,2015/2016,NJ,Fencing,47,46,1379,1115
42637,2015/2016,NJ,Field Hockey,0,219,0,8262
42638,2015/2016,NJ,Flag Football,0,0,0,0
42639,2015/2016,NJ,Football -- 11-Player,346,0,24835,37
42640,2015/2016,NJ,Football -- 6-player,0,0,0,0
42641,2015/2016,NJ,Football -- 8-player,0,0,0,0
42642,2015/2016,NJ,Football -- 9-player,0,0,0,0
42643,2015/2016,NJ,Golf,288,183,3948,1709
42644,2015/2016,NJ,Gymnastics,0,72,0,965
42645,2015/2016,NJ,Heptathlon,0,0,0,0
42646,2015/2016,NJ,Ice Hockey,132,0,3640,222
42647,2015/2016,NJ,Judo,0,0,0,0
42648,2015/2016,NJ,Kayaking,0,0,0,0
42649,2015/2016,NJ,Lacrosse,200,209,9700,9324
42650,2015/2016,NJ,Mixed 6-Coed Volleyball,0,0,0,0
42651,2015/2016,NJ,Mt. Biking,0,0,0,0
42652,2015/2016,NJ,Native Youth Olympics,0,0,0,0
42653,2015/2016,NJ,None,0,0,0,0
42654,2015/2016,NJ,Pentathlon,0,0,0,0
42655,2015/2016,NJ,Riflery,0,0,0,0
42656,2015/2016,NJ,Rodeo,0,0,0,0
42657,2015/2016,NJ,RUGBY,0,0,0,0
42658,2015/2016,NJ,Rythmic Gymnastics,0,0,0,0
42659,2015/2016,NJ,sailing,0,0,0,0
42660,2015/2016,NJ,Skiing -- Alpine,0,0,0,0
42661,2015/2016,NJ,Skiing -- Cross Country,48,44,196,138
42662,2015/2016,NJ,Snowboarding,0,0,0,0
42663,2015/2016,NJ,Soccer,394,370,19256,14549
42664,2015/2016,NJ,Soft Tennis,0,0,0,0
42665,2015/2016,NJ,Softball -- Fast Pitch,0,403,0,12627
42666,2015/2016,NJ,Softball -- Slow Pitch,0,0,0,0
42667,2015/2016,NJ,Surfing,0,0,0,0
42668,2015/2016,NJ,Swimming & Diving,251,214,5119,6328
42669,2015/2016,NJ,Synchronized Swimming,0,0,0,0
42670,2015/2016,NJ,Team Tennis,0,0,0,0
42671,2015/2016,NJ,Tennis,311,328,6008,6883
42672,2015/2016,NJ,Track and Field -- Indoor,315,312,12133,10440
42673,2015/2016,NJ,Track and Field -- Outdoor,371,377,20515,17939
42674,2015/2016,NJ,Volleyball,135,284,3811,9154
42675,2015/2016,NJ,Water Polo,0,0,0,0
42676,2015/2016,NJ,Weight Lifting,0,0,0,0
42677,2015/2016,NJ,Wrestling,310,0,9070,173
42678,2015/2016,NH,Adapted Basketball,41,41,400,344
42679,2015/2016,NH,Adapted Bowling,0,0,0,0
42680,2015/2016,NH,Adapted Floor Hockey,0,0,0,0
42681,2015/2016,NH,Adapted Soccer,16,16,140,144
42682,2015/2016,NH,Adapted Softball,0,0,0,0
42683,2015/2016,NH,Adapted Track,10,10,84,84
42684,2015/2016,NH,Air Riflery,0,0,0,0
42685,2015/2016,NH,Archery,0,0,0,0
42686,2015/2016,NH,Badminton,0,0,0,0
42687,2015/2016,NH,Adapted Bocce - Indoor,0,0,0,0
42688,2015/2016,NH,Baseball,85,0,2434,2
42689,2015/2016,NH,Basketball,86,86,2400,1777
42690,2015/2016,NH,Bowling,13,13,113,50
42691,2015/2016,NH,Competitive Spirit Squad,93,93,25,1424
42692,2015/2016,NH,Crew,0,0,0,0
42693,2015/2016,NH,Cross Country,72,71,1175,965
42694,2015/2016,NH,DANCE,0,0,0,0
42695,2015/2016,NH,Canoe Paddling,0,0,0,0
42696,2015/2016,NH,Bocce - Outdoor,0,0,0,0
42697,2015/2016,NH,Cycling,0,0,0,0
42698,2015/2016,NH,"Dance Team, High Kick",0,0,0,0
42699,2015/2016,NH,"Dance Team, Jazz",0,0,0,0
42700,2015/2016,NH,Dance/Drill,0,0,0,0
42701,2015/2016,NH,Decathlon,0,0,0,0
42702,2015/2016,NH,Drill Team,0,0,0,0
42703,2015/2016,NH,Equestrian,0,0,0,0
42704,2015/2016,NH,Fencing,0,0,0,0
42705,2015/2016,NH,Field Hockey,0,53,0,1744
42706,2015/2016,NH,Flag Football,0,0,0,0
42707,2015/2016,NH,Football -- 11-Player,57,0,3554,16
42708,2015/2016,NH,Football -- 6-player,0,0,0,0
42709,2015/2016,NH,Football -- 8-player,0,0,0,0
42710,2015/2016,NH,Football -- 9-player,0,0,0,0
42711,2015/2016,NH,Golf,67,19,864,35
42712,2015/2016,NH,Gymnastics,0,26,0,200
42713,2015/2016,NH,Heptathlon,0,0,0,0
42714,2015/2016,NH,Ice Hockey,41,13,1063,264
42715,2015/2016,NH,Judo,0,0,0,0
42716,2015/2016,NH,Kayaking,0,0,0,0
42717,2015/2016,NH,Lacrosse,49,43,2167,1641
42718,2015/2016,NH,Mixed 6-Coed Volleyball,0,0,0,0
42719,2015/2016,NH,Mt. Biking,0,0,0,0
42720,2015/2016,NH,Native Youth Olympics,0,0,0,0
42721,2015/2016,NH,None,0,0,0,0
42722,2015/2016,NH,Pentathlon,0,0,0,0
42723,2015/2016,NH,Riflery,0,0,0,0
42724,2015/2016,NH,Rodeo,0,0,0,0
42725,2015/2016,NH,RUGBY,0,0,0,0
42726,2015/2016,NH,Rythmic Gymnastics,0,0,0,0
42727,2015/2016,NH,sailing,0,0,0,0
42728,2015/2016,NH,Skiing -- Alpine,54,52,518,435
42729,2015/2016,NH,Skiing -- Cross Country,31,31,299,320
42730,2015/2016,NH,Snowboarding,0,0,0,0
42731,2015/2016,NH,Soccer,85,80,2981,2749
42732,2015/2016,NH,Soft Tennis,0,0,0,0
42733,2015/2016,NH,Softball -- Fast Pitch,0,85,0,1893
42734,2015/2016,NH,Softball -- Slow Pitch,0,0,0,0
42735,2015/2016,NH,Surfing,0,0,0,0
42736,2015/2016,NH,Swimming & Diving,47,52,422,738
42737,2015/2016,NH,Synchronized Swimming,0,0,0,0
42738,2015/2016,NH,Team Tennis,0,0,0,0
42739,2015/2016,NH,Tennis,53,54,737,872
42740,2015/2016,NH,Track and Field -- Indoor,60,59,1204,1080
42741,2015/2016,NH,Track and Field -- Outdoor,77,76,2384,2036
42742,2015/2016,NH,Volleyball,14,60,300,1602
42743,2015/2016,NH,Water Polo,0,0,0,0
42744,2015/2016,NH,Weight Lifting,0,0,0,0
42745,2015/2016,NH,Wrestling,38,0,641,14
42746,2015/2016,NH,Adapted Volleyball,13,13,64,123
42747,2015/2016,KS,Adapted Basketball,0,0,0,0
42748,2015/2016,KS,Adapted Bowling,0,0,0,0
42749,2015/2016,KS,Adapted Floor Hockey,0,0,0,0
42750,2015/2016,KS,Adapted Soccer,0,0,0,0
42751,2015/2016,KS,Adapted Softball,0,0,0,0
42752,2015/2016,KS,Adapted Track,0,0,0,0
42753,2015/2016,KS,Air Riflery,0,0,0,0
42754,2015/2016,KS,Archery,0,0,0,0
42755,2015/2016,KS,Adapted Bocce - Indoor,0,0,0,0
42756,2015/2016,KS,Adapted Volleyball,0,0,0,0
42757,2015/2016,KS,Badminton,0,0,0,0
42758,2015/2016,KS,Baseball,239,0,6434,8
42759,2015/2016,KS,Basketball,352,349,8982,7004
42760,2015/2016,KS,Bowling,76,78,1031,937
42761,2015/2016,KS,Competitive Spirit Squad,0,0,0,0
42762,2015/2016,KS,Crew,0,0,0,0
42763,2015/2016,KS,Cross Country,305,284,4123,3118
42764,2015/2016,KS,Canoe Paddling,0,0,0,0
42765,2015/2016,KS,Bocce - Outdoor,0,0,0,0
42766,2015/2016,KS,Cycling,0,0,0,0
42767,2015/2016,KS,DANCE,0,0,0,0
42768,2015/2016,KS,"Dance Team, High Kick",0,0,0,0
42769,2015/2016,KS,"Dance Team, Jazz",0,0,0,0
42770,2015/2016,KS,Dance/Drill,0,0,0,0
42771,2015/2016,KS,Decathlon,0,0,0,0
42772,2015/2016,KS,Drill Team,0,0,0,0
42773,2015/2016,KS,Equestrian,0,0,0,0
42774,2015/2016,KS,Fencing,0,0,0,0
42775,2015/2016,KS,Field Hockey,0,0,0,0
42776,2015/2016,KS,Flag Football,0,0,0,0
42777,2015/2016,KS,Football -- 11-Player,233,0,14243,29
42778,2015/2016,KS,Football -- 6-player,0,0,0,0
42779,2015/2016,KS,Football -- 8-player,111,0,2071,4
42780,2015/2016,KS,Football -- 9-player,0,0,0,0
42781,2015/2016,KS,Golf,230,119,2460,1280
42782,2015/2016,KS,Gymnastics,0,13,0,141
42783,2015/2016,KS,Heptathlon,0,0,0,0
42784,2015/2016,KS,Ice Hockey,0,0,0,0
42785,2015/2016,KS,Judo,0,0,0,0
42786,2015/2016,KS,Kayaking,0,0,0,0
42787,2015/2016,KS,Lacrosse,0,0,0,0
42788,2015/2016,KS,Mixed 6-Coed Volleyball,0,0,0,0
42789,2015/2016,KS,Mt. Biking,0,0,0,0
42790,2015/2016,KS,Native Youth Olympics,0,0,0,0
42791,2015/2016,KS,None,0,0,0,0
42792,2015/2016,KS,Pentathlon,0,0,0,0
42793,2015/2016,KS,Riflery,0,0,0,0
42794,2015/2016,KS,Rodeo,0,0,0,0
42795,2015/2016,KS,RUGBY,0,0,0,0
42796,2015/2016,KS,Rythmic Gymnastics,0,0,0,0
42797,2015/2016,KS,sailing,0,0,0,0
42798,2015/2016,KS,Skiing -- Alpine,0,0,0,0
42799,2015/2016,KS,Skiing -- Cross Country,0,0,0,0
42800,2015/2016,KS,Snowboarding,0,0,0,0
42801,2015/2016,KS,Soccer,108,89,4502,3371
42802,2015/2016,KS,Soft Tennis,0,0,0,0
