ID,SchYear,State,Sport,Boys_Schools,Girls_Schools,Boys_Participation,Girls_Participation
43020,2015/2016,IA,Volleyball,0,361,0,11669
43021,2015/2016,IA,Water Polo,0,0,0,0
43022,2015/2016,IA,Weight Lifting,0,0,0,0
43023,2015/2016,IA,Wrestling,283,33,6512,67
43024,2015/2016,AZ,Adapted Basketball,0,0,0,0
43025,2015/2016,AZ,Adapted Bowling,0,0,0,0
43026,2015/2016,AZ,Adapted Floor Hockey,0,0,0,0
43027,2015/2016,AZ,Adapted Soccer,0,0,0,0
43028,2015/2016,AZ,Adapted Softball,0,0,0,0
43029,2015/2016,AZ,Adapted Track,0,0,0,0
43030,2015/2016,AZ,Air Riflery,0,0,0,0
43031,2015/2016,AZ,Archery,0,0,0,0
43032,2015/2016,AZ,Adapted Bocce - Indoor,0,0,0,0
43033,2015/2016,AZ,Adapted Volleyball,0,0,0,0
43034,2015/2016,AZ,Badminton,0,63,0,1250
43035,2015/2016,AZ,Baseball,239,0,7703,20
43036,2015/2016,AZ,Basketball,256,254,8070,6654
43037,2015/2016,AZ,Bowling,0,0,0,0
43038,2015/2016,AZ,Competitive Spirit Squad,74,193,299,5938
43039,2015/2016,AZ,Crew,0,0,0,0
43040,2015/2016,AZ,Cross Country,226,224,3546,2851
43041,2015/2016,AZ,Canoe Paddling,0,0,0,0
43042,2015/2016,AZ,Bocce - Outdoor,0,0,0,0
43043,2015/2016,AZ,Cycling,0,0,0,0
43044,2015/2016,AZ,DANCE,0,0,0,0
43045,2015/2016,AZ,"Dance Team, High Kick",0,0,0,0
43046,2015/2016,AZ,"Dance Team, Jazz",0,0,0,0
43047,2015/2016,AZ,Dance/Drill,0,0,0,0
43048,2015/2016,AZ,Decathlon,0,0,0,0
43049,2015/2016,AZ,Drill Team,0,0,0,0
43050,2015/2016,AZ,Equestrian,0,0,0,0
43051,2015/2016,AZ,Fencing,0,0,0,0
43052,2015/2016,AZ,Field Hockey,0,0,0,0
43053,2015/2016,AZ,Flag Football,0,0,0,0
43054,2015/2016,AZ,Football -- 11-Player,200,28,20814,115
43055,2015/2016,AZ,Football -- 6-player,0,0,0,0
43056,2015/2016,AZ,Football -- 8-player,29,5,2615,20
43057,2015/2016,AZ,Football -- 9-player,0,0,0,0
43058,2015/2016,AZ,Golf,200,109,1745,945
43059,2015/2016,AZ,Gymnastics,0,0,0,0
43060,2015/2016,AZ,Heptathlon,0,0,0,0
43061,2015/2016,AZ,Ice Hockey,0,0,0,0
43062,2015/2016,AZ,Judo,0,0,0,0
43063,2015/2016,AZ,Kayaking,0,0,0,0
43064,2015/2016,AZ,Lacrosse,0,0,0,0
43065,2015/2016,AZ,Mixed 6-Coed Volleyball,0,0,0,0
43066,2015/2016,AZ,Mt. Biking,0,0,0,0
43067,2015/2016,AZ,Native Youth Olympics,0,0,0,0
43068,2015/2016,AZ,None,0,0,0,0
43069,2015/2016,AZ,Pentathlon,0,0,0,0
43070,2015/2016,AZ,Riflery,0,0,0,0
43071,2015/2016,AZ,Rodeo,0,0,0,0
43072,2015/2016,AZ,RUGBY,0,0,0,0
43073,2015/2016,AZ,Rythmic Gymnastics,0,0,0,0
43074,2015/2016,AZ,sailing,0,0,0,0
43075,2015/2016,AZ,Skiing -- Alpine,0,0,0,0
43076,2015/2016,AZ,Skiing -- Cross Country,0,0,0,0
43077,2015/2016,AZ,Snowboarding,0,0,0,0
43078,2015/2016,AZ,Soccer,205,184,7601,6401
43079,2015/2016,AZ,Soft Tennis,0,0,0,0
43080,2015/2016,AZ,Softball -- Fast Pitch,0,238,0,6853
43081,2015/2016,AZ,Softball -- Slow Pitch,0,0,0,0
43082,2015/2016,AZ,Surfing,0,0,0,0
43083,2015/2016,AZ,Swimming & Diving,149,149,2516,3056
43084,2015/2016,AZ,Synchronized Swimming,0,0,0,0
43085,2015/2016,AZ,Team Tennis,0,0,0,0
43086,2015/2016,AZ,Tennis,168,172,2208,2675
43087,2015/2016,AZ,Track and Field -- Indoor,0,0,0,0
43088,2015/2016,AZ,Track and Field -- Outdoor,233,233,9489,6792
43089,2015/2016,AZ,Volleyball,75,257,1807,8071
43090,2015/2016,AZ,Water Polo,0,0,0,0
43091,2015/2016,AZ,Weight Lifting,0,0,0,0
43092,2015/2016,AZ,Wrestling,197,71,5400,255
43093,2015/2016,ND,Adapted Basketball,0,0,0,0
43094,2015/2016,ND,Adapted Bowling,0,0,0,0
43095,2015/2016,ND,Adapted Floor Hockey,0,0,0,0
43096,2015/2016,ND,Adapted Soccer,0,0,0,0
43097,2015/2016,ND,Adapted Softball,0,0,0,0
43098,2015/2016,ND,Adapted Track,0,0,0,0
43099,2015/2016,ND,Air Riflery,0,0,0,0
43100,2015/2016,ND,Archery,0,0,0,0
43101,2015/2016,ND,Adapted Bocce - Indoor,0,0,0,0
43102,2015/2016,ND,Adapted Volleyball,0,0,0,0
43103,2015/2016,GA,Adapted Basketball,21,13,112,69
43104,2015/2016,GA,Adapted Bowling,0,0,0,0
43105,2015/2016,GA,Adapted Floor Hockey,0,0,0,0
43106,2015/2016,GA,Adapted Soccer,0,0,0,0
43107,2015/2016,GA,Adapted Softball,0,0,0,0
43108,2015/2016,GA,Adapted Track,13,9,79,44
43109,2015/2016,GA,Air Riflery,0,0,0,0
43110,2015/2016,GA,Archery,0,0,0,0
43111,2015/2016,GA,Adapted Bocce - Indoor,0,0,0,0
43112,2015/2016,GA,Adapted Volleyball,0,0,0,0
43113,2015/2016,GA,Badminton,0,0,0,0
43114,2015/2016,GA,Baseball,428,9,12773,13
43115,2015/2016,GA,Basketball,441,435,12872,8897
43116,2015/2016,GA,Bowling,0,0,0,0
43117,2015/2016,GA,Competitive Spirit Squad,45,238,129,4857
43118,2015/2016,GA,Crew,0,0,0,0
43119,2015/2016,GA,Cross Country,411,400,8011,6379
43120,2015/2016,GA,Canoe Paddling,0,0,0,0
43121,2015/2016,GA,Bocce - Outdoor,0,0,0,0
43122,2015/2016,GA,Cycling,0,0,0,0
43123,2015/2016,GA,DANCE,25,196,80,2993
43124,2015/2016,GA,"Dance Team, High Kick",0,0,0,0
43125,2015/2016,GA,"Dance Team, Jazz",0,0,0,0
43126,2015/2016,GA,Dance/Drill,0,0,0,0
43127,2015/2016,GA,Decathlon,0,0,0,0
43128,2015/2016,GA,Drill Team,65,176,643,2656
43129,2015/2016,GA,Equestrian,0,0,0,0
43130,2015/2016,GA,Fencing,0,0,0,0
43131,2015/2016,GA,Field Hockey,0,0,0,0
43132,2015/2016,GA,Flag Football,0,0,0,0
43133,2015/2016,GA,Football -- 11-Player,419,31,34334,75
43134,2015/2016,GA,Football -- 6-player,0,0,0,0
43135,2015/2016,GA,Football -- 8-player,0,0,0,0
43136,2015/2016,GA,Football -- 9-player,0,0,0,0
43137,2015/2016,GA,Golf,391,354,3293,1891
43138,2015/2016,GA,Gymnastics,0,60,0,455
43139,2015/2016,GA,Heptathlon,0,0,0,0
43140,2015/2016,GA,Ice Hockey,0,0,0,0
43141,2015/2016,GA,Judo,0,0,0,0
43142,2015/2016,GA,Kayaking,0,0,0,0
43143,2015/2016,GA,Lacrosse,101,101,3948,3179
43144,2015/2016,GA,Mixed 6-Coed Volleyball,0,0,0,0
43145,2015/2016,GA,Mt. Biking,0,0,0,0
43146,2015/2016,GA,Native Youth Olympics,0,0,0,0
43147,2015/2016,GA,None,0,0,0,0
43148,2015/2016,GA,Pentathlon,0,0,0,0
43149,2015/2016,GA,Riflery,122,117,714,491
43150,2015/2016,GA,Rodeo,0,0,0,0
43151,2015/2016,GA,RUGBY,0,0,0,0
43152,2015/2016,GA,Rythmic Gymnastics,0,0,0,0
43153,2015/2016,GA,sailing,0,0,0,0
43154,2015/2016,GA,Skiing -- Alpine,0,0,0,0
43155,2015/2016,GA,Skiing -- Cross Country,0,0,0,0
43156,2015/2016,GA,Snowboarding,0,0,0,0
43157,2015/2016,GA,Soccer,387,390,11771,10359
43158,2015/2016,GA,Soft Tennis,0,0,0,0
43159,2015/2016,GA,Softball -- Fast Pitch,0,405,0,8230
43160,2015/2016,GA,Softball -- Slow Pitch,0,6,0,116
43161,2015/2016,GA,Surfing,0,0,0,0
43162,2015/2016,GA,Swimming & Diving,252,259,3512,4521
43163,2015/2016,GA,Synchronized Swimming,0,0,0,0
43164,2015/2016,GA,Team Tennis,388,392,4378,4974
43165,2015/2016,GA,Tennis,0,0,0,0
43166,2015/2016,GA,Track and Field -- Indoor,0,0,0,0
43167,2015/2016,GA,Track and Field -- Outdoor,427,423,13625,11115
43168,2015/2016,GA,Volleyball,0,329,0,7891
43169,2015/2016,GA,Water Polo,0,0,0,0
43170,2015/2016,GA,Weight Lifting,41,16,2065,390
43171,2015/2016,GA,Wrestling,357,74,8171,151
43172,2015/2016,ND,Badminton,0,0,0,0
43173,2015/2016,ND,Baseball,121,9,1577,9
43174,2015/2016,ND,Basketball,166,162,3061,2256
43175,2015/2016,ND,Bowling,0,0,0,0
43176,2015/2016,ND,Competitive Spirit Squad,0,0,0,0
43177,2015/2016,ND,Crew,0,0,0,0
43178,2015/2016,ND,Cross Country,101,100,679,588
43179,2015/2016,ND,Canoe Paddling,0,0,0,0
43180,2015/2016,ND,Bocce - Outdoor,0,0,0,0
43181,2015/2016,ND,Cycling,0,0,0,0
43182,2015/2016,ND,DANCE,0,0,0,0
43183,2015/2016,ND,"Dance Team, High Kick",0,0,0,0
43184,2015/2016,ND,"Dance Team, Jazz",0,0,0,0
43185,2015/2016,ND,Dance/Drill,0,0,0,0
43186,2015/2016,ND,Decathlon,0,0,0,0
43187,2015/2016,ND,Drill Team,0,0,0,0
43188,2015/2016,ND,Equestrian,0,0,0,0
43189,2015/2016,ND,Fencing,0,0,0,0
43190,2015/2016,ND,Field Hockey,0,0,0,0
43191,2015/2016,ND,Flag Football,0,0,0,0
43192,2015/2016,ND,Football -- 11-Player,85,5,2904,11
43193,2015/2016,ND,Football -- 6-player,0,0,0,0
43194,2015/2016,ND,Football -- 8-player,0,0,0,0
43195,2015/2016,ND,Football -- 9-player,73,1,1116,5
43196,2015/2016,ND,Golf,131,120,922,465
43197,2015/2016,ND,Gymnastics,0,21,0,122
43198,2015/2016,ND,Heptathlon,0,0,0,0
43199,2015/2016,ND,Ice Hockey,35,20,523,214
43200,2015/2016,ND,Judo,0,0,0,0
43201,2015/2016,ND,Kayaking,0,0,0,0
43202,2015/2016,ND,Lacrosse,0,0,0,0
43203,2015/2016,ND,Mixed 6-Coed Volleyball,0,0,0,0
43204,2015/2016,ND,Mt. Biking,0,0,0,0
43205,2015/2016,ND,Native Youth Olympics,0,0,0,0
43206,2015/2016,ND,None,0,0,0,0
43207,2015/2016,ND,Pentathlon,0,0,0,0
43208,2015/2016,ND,Riflery,0,0,0,0
43209,2015/2016,ND,Rodeo,0,0,0,0
43210,2015/2016,ND,RUGBY,0,0,0,0
43211,2015/2016,ND,Rythmic Gymnastics,0,0,0,0
43212,2015/2016,ND,sailing,0,0,0,0
43213,2015/2016,ND,Skiing -- Alpine,0,0,0,0
43214,2015/2016,ND,Skiing -- Cross Country,0,0,0,0
43215,2015/2016,ND,Snowboarding,0,0,0,0
43216,2015/2016,ND,Soccer,17,18,667,628
43217,2015/2016,ND,Soft Tennis,0,0,0,0
43218,2015/2016,ND,Softball -- Fast Pitch,0,72,0,895
43219,2015/2016,ND,Softball -- Slow Pitch,0,0,0,0
43220,2015/2016,ND,Surfing,0,0,0,0
43221,2015/2016,ND,Swimming & Diving,22,22,318,385
43222,2015/2016,ND,Synchronized Swimming,0,0,0,0
43223,2015/2016,ND,Team Tennis,0,0,0,0
43224,2015/2016,ND,Tennis,20,23,288,488
43225,2015/2016,ND,Track and Field -- Indoor,0,0,0,0
43226,2015/2016,ND,Track and Field -- Outdoor,160,156,2448,1958
43227,2015/2016,ND,Volleyball,0,154,0,3213
43228,2015/2016,ND,Water Polo,0,0,0,0
43229,2015/2016,ND,Weight Lifting,0,0,0,0
43230,2015/2016,ND,Wrestling,95,13,903,14
43231,2015/2016,AR,Adapted Basketball,0,0,0,0
43232,2015/2016,AR,Adapted Bowling,0,0,0,0
43233,2015/2016,AR,Adapted Floor Hockey,0,0,0,0
43234,2015/2016,AR,Adapted Soccer,0,0,0,0
43235,2015/2016,AR,Adapted Softball,0,0,0,0
43236,2015/2016,AR,Adapted Track,0,0,0,0
43237,2015/2016,AR,Air Riflery,0,0,0,0
43238,2015/2016,AR,Archery,47,45,660,435
43239,2015/2016,AR,Adapted Bocce - Indoor,0,0,0,0
43240,2015/2016,AR,Adapted Volleyball,0,0,0,0
43241,2015/2016,AR,Badminton,0,0,0,0
43242,2015/2016,AR,Baseball,251,0,5536,0
43243,2015/2016,AR,Basketball,274,256,5587,4177
43244,2015/2016,AR,Bowling,64,61,710,548
43245,2015/2016,AR,Competitive Spirit Squad,15,81,51,1594
43246,2015/2016,AR,Crew,0,0,0,0
43247,2015/2016,AR,Cross Country,151,145,1702,1335
43248,2015/2016,AR,Canoe Paddling,0,0,0,0
43249,2015/2016,AR,Bocce - Outdoor,0,0,0,0
43250,2015/2016,AR,Cycling,0,0,0,0
43251,2015/2016,AR,DANCE,0,0,0,0
43252,2015/2016,AR,"Dance Team, High Kick",0,0,0,0
43253,2015/2016,AR,"Dance Team, Jazz",0,0,0,0
43254,2015/2016,AR,Dance/Drill,0,0,0,0
43255,2015/2016,AR,Decathlon,23,0,46,0
43256,2015/2016,AR,Drill Team,0,0,0,0
43257,2015/2016,AR,Equestrian,0,0,0,0
43258,2015/2016,AR,Fencing,0,0,0,0
43259,2015/2016,AR,Field Hockey,0,0,0,0
43260,2015/2016,AR,Flag Football,0,0,0,0
43261,2015/2016,AR,Football -- 11-Player,203,10,11092,28
43262,2015/2016,AR,Football -- 6-player,0,0,0,0
43263,2015/2016,AR,Football -- 8-player,0,0,0,0
43264,2015/2016,AR,Football -- 9-player,0,0,0,0
43265,2015/2016,AR,Golf,204,172,1296,786
43266,2015/2016,AR,Gymnastics,2,6,33,94
43267,2015/2016,AR,Heptathlon,0,15,0,31
43268,2015/2016,AR,Ice Hockey,0,0,0,0
43269,2015/2016,AR,Judo,0,0,0,0
43270,2015/2016,AR,Kayaking,0,0,0,0
43271,2015/2016,AR,Lacrosse,1,0,20,0
43272,2015/2016,AR,Mixed 6-Coed Volleyball,0,0,0,0
43273,2015/2016,AR,Mt. Biking,0,0,0,0
43274,2015/2016,AR,Native Youth Olympics,0,0,0,0
43275,2015/2016,AR,None,0,0,0,0
43276,2015/2016,AR,Pentathlon,0,0,0,0
43277,2015/2016,AR,Riflery,10,8,131,37
43278,2015/2016,AR,Rodeo,3,5,12,9
43279,2015/2016,AR,RUGBY,0,0,0,0
43280,2015/2016,AR,Rythmic Gymnastics,0,0,0,0
43281,2015/2016,AR,sailing,0,0,0,0
43282,2015/2016,AR,Skiing -- Alpine,0,0,0,0
43283,2015/2016,AR,Skiing -- Cross Country,0,0,0,0
43284,2015/2016,AR,Snowboarding,0,0,0,0
43285,2015/2016,AR,Soccer,92,90,2633,2134
43286,2015/2016,AR,Soft Tennis,0,0,0,0
43287,2015/2016,AR,Softball -- Fast Pitch,0,231,0,4285
43288,2015/2016,AR,Softball -- Slow Pitch,0,0,0,0
43289,2015/2016,AR,Surfing,0,0,0,0
43290,2015/2016,AR,Swimming & Diving,39,45,365,456
43291,2015/2016,AR,Synchronized Swimming,0,0,0,0
43292,2015/2016,AR,Team Tennis,0,0,0,0
43293,2015/2016,AR,Tennis,122,121,1023,1070
43294,2015/2016,AR,Track and Field -- Indoor,60,58,1191,1052
43295,2015/2016,AR,Track and Field -- Outdoor,235,229,4737,3538
43296,2015/2016,AR,Volleyball,0,125,0,2883
43297,2015/2016,AR,Water Polo,0,0,0,0
43298,2015/2016,AR,Weight Lifting,34,6,813,106
43299,2015/2016,AR,Wrestling,40,13,839,27
43300,2015/2016,NE,Adapted Basketball,0,0,0,0
43301,2015/2016,NE,Adapted Bowling,0,0,0,0
43302,2015/2016,NE,Adapted Floor Hockey,0,0,0,0
43303,2015/2016,NE,Adapted Soccer,0,0,0,0
43304,2015/2016,NE,Adapted Softball,0,0,0,0
43305,2015/2016,NE,Adapted Track,0,0,0,0
43306,2015/2016,NE,Air Riflery,0,0,0,0
43307,2015/2016,NE,Archery,0,0,0,0
43308,2015/2016,NE,Adapted Bocce - Indoor,0,0,0,0
43309,2015/2016,NE,Adapted Volleyball,0,0,0,0
43310,2015/2016,NE,Badminton,0,0,0,0
43311,2015/2016,NE,Baseball,77,0,2509,4
43312,2015/2016,NE,Basketball,300,301,7276,5976
43313,2015/2016,NE,Bowling,0,0,0,0
43314,2015/2016,NE,Competitive Spirit Squad,0,0,0,0
43315,2015/2016,NE,Crew,0,0,0,0
43316,2015/2016,NE,Cross Country,230,234,3140,2363
43317,2015/2016,NE,Canoe Paddling,0,0,0,0
43318,2015/2016,NE,Bocce - Outdoor,0,0,0,0
43319,2015/2016,NE,Cycling,0,0,0,0
43320,2015/2016,NE,DANCE,0,0,0,0
43321,2015/2016,NE,"Dance Team, High Kick",0,0,0,0
43322,2015/2016,NE,"Dance Team, Jazz",0,0,0,0
43323,2015/2016,NE,Dance/Drill,0,0,0,0
43324,2015/2016,NE,Decathlon,0,0,0,0
43325,2015/2016,NE,Drill Team,0,0,0,0
43326,2015/2016,NE,Equestrian,0,0,0,0
43327,2015/2016,NE,Fencing,0,0,0,0
43328,2015/2016,NE,Field Hockey,0,0,0,0
43329,2015/2016,NE,Flag Football,0,0,0,0
43330,2015/2016,NE,Football -- 11-Player,190,0,9901,18
43331,2015/2016,NE,Football -- 6-player,19,0,0,0
43332,2015/2016,NE,Football -- 8-player,121,0,2903,24
43333,2015/2016,NE,Football -- 9-player,0,0,0,0
43334,2015/2016,NE,Golf,242,138,2558,1351
43335,2015/2016,NE,Gymnastics,0,0,0,0
43336,2015/2016,NE,Heptathlon,0,0,0,0
43337,2015/2016,NE,Ice Hockey,0,0,0,0
43338,2015/2016,NE,Judo,0,0,0,0
43339,2015/2016,NE,Kayaking,0,0,0,0
43340,2015/2016,NE,Lacrosse,0,0,0,0
43341,2015/2016,NE,Mixed 6-Coed Volleyball,0,0,0,0
43342,2015/2016,NE,Mt. Biking,0,0,0,0
43343,2015/2016,NE,Native Youth Olympics,0,0,0,0
43344,2015/2016,NE,None,0,0,0,0
43345,2015/2016,NE,Pentathlon,0,0,0,0
43346,2015/2016,NE,Riflery,0,0,0,0
43347,2015/2016,NE,Rodeo,0,0,0,0
43348,2015/2016,NE,RUGBY,0,0,0,0
43349,2015/2016,NE,Rythmic Gymnastics,0,0,0,0
43350,2015/2016,NE,sailing,0,0,0,0
43351,2015/2016,NE,Skiing -- Alpine,0,0,0,0
43352,2015/2016,NE,Skiing -- Cross Country,0,0,0,0
43353,2015/2016,NE,Snowboarding,0,0,0,0
43354,2015/2016,NE,Soccer,75,74,2854,2662
43355,2015/2016,NE,Soft Tennis,0,0,0,0
43356,2015/2016,NE,Softball -- Fast Pitch,0,139,0,2574
43357,2015/2016,NE,Softball -- Slow Pitch,0,0,0,0
43358,2015/2016,NE,Surfing,0,0,0,0
43359,2015/2016,NE,Swimming & Diving,59,59,784,1056
43360,2015/2016,NE,Synchronized Swimming,0,0,0,0
43361,2015/2016,NE,Team Tennis,0,0,0,0
43362,2015/2016,NE,Tennis,61,67,979,1510
43363,2015/2016,NE,Track and Field -- Indoor,0,0,0,0
43364,2015/2016,NE,Track and Field -- Outdoor,299,300,8655,7239
43365,2015/2016,NE,Volleyball,0,301,0,7104
43366,2015/2016,NE,Water Polo,0,0,0,0
43367,2015/2016,NE,Weight Lifting,0,0,0,0
43368,2015/2016,NE,Wrestling,249,0,4543,144
43369,2015/2016,OR,Adapted Basketball,0,0,0,0
43370,2015/2016,OR,Adapted Bowling,0,0,0,0
43371,2015/2016,OR,Adapted Floor Hockey,0,0,0,0
43372,2015/2016,OR,Adapted Soccer,0,0,0,0
43373,2015/2016,OR,Adapted Softball,0,0,0,0
43374,2015/2016,OR,Adapted Track,0,0,0,0
43375,2015/2016,OR,Air Riflery,0,0,0,0
43376,2015/2016,OR,Archery,0,0,0,0
43377,2015/2016,OR,Adapted Bocce - Indoor,0,0,0,0
43378,2015/2016,OR,Adapted Volleyball,0,0,0,0
43379,2015/2016,OR,Badminton,0,0,0,0
43380,2015/2016,OR,Baseball,223,0,5928,4
43381,2015/2016,OR,Basketball,275,274,7558,5765
43382,2015/2016,OR,Bowling,0,0,0,0
43383,2015/2016,OR,Competitive Spirit Squad,0,143,134,2438
43384,2015/2016,OR,Crew,0,0,0,0
43385,2015/2016,OR,Cross Country,216,207,3818,3004
43386,2015/2016,OR,Canoe Paddling,0,0,0,0
43387,2015/2016,OR,Bocce - Outdoor,0,0,0,0
43388,2015/2016,OR,Cycling,0,0,0,0
43389,2015/2016,OR,DANCE,0,0,0,0
43390,2015/2016,OR,"Dance Team, High Kick",0,0,0,0
43391,2015/2016,OR,"Dance Team, Jazz",0,0,0,0
43392,2015/2016,OR,Dance/Drill,0,79,82,1528
43393,2015/2016,OR,Decathlon,0,0,0,0
43394,2015/2016,OR,Drill Team,0,0,0,0
43395,2015/2016,OR,Equestrian,0,0,0,0
43396,2015/2016,OR,Fencing,0,0,0,0
43397,2015/2016,OR,Field Hockey,0,0,0,0
43398,2015/2016,OR,Flag Football,0,0,0,0
43399,2015/2016,OR,Football -- 11-Player,190,0,12998,28
43400,2015/2016,OR,Football -- 6-player,0,0,0,0
43401,2015/2016,OR,Football -- 8-player,54,0,790,1
43402,2015/2016,OR,Football -- 9-player,0,0,0,0
43403,2015/2016,OR,Golf,160,133,1600,927
43404,2015/2016,OR,Gymnastics,0,0,0,0
43405,2015/2016,OR,Heptathlon,0,0,0,0
43406,2015/2016,OR,Ice Hockey,0,0,0,0
43407,2015/2016,OR,Judo,0,0,0,0
43408,2015/2016,OR,Kayaking,0,0,0,0
43409,2015/2016,OR,Lacrosse,0,0,0,0
43410,2015/2016,OR,Mixed 6-Coed Volleyball,0,0,0,0
43411,2015/2016,OR,Mt. Biking,0,0,0,0
43412,2015/2016,OR,Native Youth Olympics,0,0,0,0
43413,2015/2016,OR,None,0,0,0,0
43414,2015/2016,OR,Pentathlon,0,0,0,0
43415,2015/2016,OR,Riflery,0,0,0,0
43416,2015/2016,OR,Rodeo,0,0,0,0
43417,2015/2016,OR,RUGBY,0,0,0,0
43418,2015/2016,OR,Rythmic Gymnastics,0,0,0,0
43419,2015/2016,OR,sailing,0,0,0,0
43420,2015/2016,OR,Skiing -- Alpine,0,0,0,0
43421,2015/2016,OR,Skiing -- Cross Country,0,0,0,0
43422,2015/2016,OR,Snowboarding,0,0,0,0
43423,2015/2016,OR,Soccer,177,160,6196,5221
43424,2015/2016,OR,Soft Tennis,0,0,0,0
43425,2015/2016,OR,Softball -- Fast Pitch,0,219,0,4772
43426,2015/2016,OR,Softball -- Slow Pitch,0,0,0,0
43427,2015/2016,OR,Surfing,0,0,0,0
43428,2015/2016,OR,Swimming & Diving,117,118,1812,2404
43429,2015/2016,OR,Synchronized Swimming,0,0,0,0
43430,2015/2016,OR,Team Tennis,0,0,0,0
43431,2015/2016,OR,Tennis,116,123,2164,2910
43432,2015/2016,OR,Track and Field -- Indoor,0,0,0,0
43433,2015/2016,OR,Track and Field -- Outdoor,256,264,9459,7453
43434,2015/2016,OR,Volleyball,0,272,0,6859
43435,2015/2016,OR,Water Polo,0,0,0,0
43436,2015/2016,OR,Weight Lifting,0,0,0,0
43437,2015/2016,OR,Wrestling,193,0,4320,222
43438,2015/2016,IN,Adapted Volleyball,0,0,0,0
43439,2015/2016,IN,Baseball,384,0,11078,0
43440,2015/2016,IN,Basketball,398,395,10903,8048
43441,2015/2016,IN,Bowling,0,0,0,0
43442,2015/2016,IN,Competitive Spirit Squad,0,0,0,0
43443,2015/2016,IN,Crew,0,0,0,0
43444,2015/2016,IN,Cross Country,390,390,5148,4942
43445,2015/2016,IN,Canoe Paddling,0,0,0,0
43446,2015/2016,IN,Bocce - Outdoor,0,0,0,0
43447,2015/2016,IN,Cycling,0,0,0,0
43448,2015/2016,IN,DANCE,0,0,0,0
43449,2015/2016,IN,"Dance Team, High Kick",0,0,0,0
43450,2015/2016,IN,"Dance Team, Jazz",0,0,0,0
43451,2015/2016,IN,Dance/Drill,0,0,0,0
43452,2015/2016,IN,Decathlon,0,0,0,0
43453,2015/2016,IN,Drill Team,0,0,0,0
43454,2015/2016,IN,Equestrian,0,0,0,0
43455,2015/2016,IN,Fencing,0,0,0,0
43456,2015/2016,IN,Field Hockey,0,0,0,0
43457,2015/2016,IN,Flag Football,0,0,0,0
43458,2015/2016,IN,Football -- 11-Player,321,0,21839,0
43459,2015/2016,IN,Football -- 6-player,0,0,0,0
43460,2015/2016,IN,Football -- 8-player,0,0,0,0
43461,2015/2016,IN,Football -- 9-player,0,0,0,0
43462,2015/2016,IN,Golf,354,290,3852,2382
43463,2015/2016,IN,Gymnastics,0,74,0,603
43464,2015/2016,IN,Heptathlon,0,0,0,0
43465,2015/2016,IN,Ice Hockey,0,0,0,0
43466,2015/2016,IN,Judo,0,0,0,0
43467,2015/2016,IN,Kayaking,0,0,0,0
43468,2015/2016,IN,Lacrosse,0,0,0,0
43469,2015/2016,IN,Mixed 6-Coed Volleyball,0,0,0,0
43470,2015/2016,IN,Mt. Biking,0,0,0,0
43471,2015/2016,IN,Native Youth Olympics,0,0,0,0
43472,2015/2016,IN,None,0,0,0,0
43473,2015/2016,IN,Pentathlon,0,0,0,0
43474,2015/2016,IN,Riflery,0,0,0,0
43475,2015/2016,IN,Rodeo,0,0,0,0
43476,2015/2016,IN,RUGBY,0,0,0,0
43477,2015/2016,IN,Rythmic Gymnastics,0,0,0,0
43478,2015/2016,IN,sailing,0,0,0,0
43479,2015/2016,IN,Skiing -- Alpine,0,0,0,0
43480,2015/2016,IN,Skiing -- Cross Country,0,0,0,0
43481,2015/2016,IN,Snowboarding,0,0,0,0
43482,2015/2016,IN,Soccer,294,262,9193,6984
43483,2015/2016,IN,Soft Tennis,0,0,0,0
43484,2015/2016,IN,Softball -- Fast Pitch,0,373,0,8408
43485,2015/2016,IN,Softball -- Slow Pitch,0,0,0,0
43486,2015/2016,IN,Surfing,0,0,0,0
43487,2015/2016,IN,Swimming & Diving,233,239,3477,4267
43488,2015/2016,IN,Synchronized Swimming,0,0,0,0
43489,2015/2016,IN,Team Tennis,0,0,0,0
43490,2015/2016,IN,Tennis,302,314,4631,6216
43491,2015/2016,IN,Track and Field -- Indoor,0,0,0,0
43492,2015/2016,IN,Track and Field -- Outdoor,389,390,13276,10582
43493,2015/2016,IN,Volleyball,0,398,0,9417
43494,2015/2016,IN,Water Polo,0,0,0,0
43495,2015/2016,IN,Weight Lifting,0,0,0,0
43496,2015/2016,IN,Wrestling,310,0,7156,0
43497,2015/2016,CO,Adapted Basketball,0,0,0,0
43498,2015/2016,CO,Adapted Bowling,0,0,0,0
43499,2015/2016,CO,Adapted Floor Hockey,0,0,0,0
43500,2015/2016,CO,Adapted Soccer,0,0,0,0
43501,2015/2016,CO,Adapted Softball,0,0,0,0
43502,2015/2016,CO,Adapted Track,0,0,0,0
43503,2015/2016,CO,Air Riflery,0,0,0,0
43504,2015/2016,CO,Archery,0,0,0,0
43505,2015/2016,CO,Adapted Bocce - Indoor,0,0,0,0
43506,2015/2016,CO,Adapted Volleyball,0,0,0,0
43507,2015/2016,CO,Badminton,0,0,0,0
43508,2015/2016,CO,Baseball,286,0,8306,176
43509,2015/2016,CO,Basketball,336,335,9058,7160
43510,2015/2016,CO,Bowling,0,0,0,0
43511,2015/2016,CO,Competitive Spirit Squad,207,207,205,4830
43512,2015/2016,CO,Crew,0,0,0,0
43513,2015/2016,CO,Cross Country,241,240,4347,4178
